group_tropes,sentence_pattern_parsed,genres,contains_characters,separate_trope_words,trope,sentence_subjectivity,sentence_polarity,sentence_modality,spoiler
unknown_trope,see,genre_Comedy,CONTAINS_CHARACTERS:FALSE,Comically Missing Point,ComicallyMissingThePoint,VERY_OBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,repeat rare NNP show occasional,genre_Adventure Sci-Fi,CONTAINS_CHARACTERS:FALSE,Avengers.html,TheAvengers.html,SUBJECTIVE,POSITIVE,FACTUAL,False
unknown_trope,bad romantic NNP avoid interested work,genre_Adventure Sci-Fi,CONTAINS_CHARACTERS:TRUE,Celibate Hero,CelibateHero,OBJECTIVE,NEGATIVE,NOT_FACTUAL,False
unknown_trope,NNP drive NNP NNP NNP compact remodelled,genre_Adventure Sci-Fi,CONTAINS_CHARACTERS:TRUE,Cool Car,CoolCar,VERY_SUBJECTIVE,NEGATIVE,NOT_FACTUAL,False
narrative_device_trope,discover NNP freeze NNP,genre_Adventure Sci-Fi,CONTAINS_CHARACTERS:TRUE,Human Popsicle,HumanPopsicle,VERY_OBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,NNP work download,genre_Action Adventure Drama Sci-Fi,CONTAINS_CHARACTERS:TRUE,Wetware Body,WetwareBody,VERY_OBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,NNP newly-independent NNP NNP hope use resolve agricultural,genre_Action Adventure Drama Sci-Fi,CONTAINS_CHARACTERS:FALSE,Qurac,Qurac,VERY_OBJECTIVE,NEGATIVE,FACTUAL,False
drama_trope,state NNP offer NNP,genre_Action Adventure Drama Sci-Fi,CONTAINS_CHARACTERS:TRUE,Rule Together,WeCanRuleTogether,VERY_OBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,NNP NNP animated perform modernized classic,genre_Comedy Drama Family Sci-Fi,CONTAINS_CHARACTERS:TRUE,Fun Acronyms,FunWithAcronyms,SUBJECTIVE,POSITIVE,FACTUAL,False
unknown_trope,comic tend play give strange technological seem inspire animated original would include set NNP framing NNP tell,genre_Comedy Drama Family Sci-Fi,CONTAINS_CHARACTERS:TRUE,Fun Acronyms,FunWithAcronyms,OBJECTIVE,POSITIVE,NOT_FACTUAL,False
unknown_trope,NNP smart enough crack wise ca bother put,genre_Comedy Drama Family Sci-Fi,CONTAINS_CHARACTERS:TRUE,Exposed Extraterrestrials,ExposedExtraterrestrials,SUBJECTIVE,POSITIVE,NOT_FACTUAL,False
unknown_trope,comic NNP,genre_Comedy Drama Family Sci-Fi,CONTAINS_CHARACTERS:FALSE,Follow Leader,FollowTheLeader,OBJECTIVE,POSITIVE,FACTUAL,False
unknown_trope,see fighting,genre_Unknown,CONTAINS_CHARACTERS:FALSE,Never Live,NeverLiveItDown,OBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,NNP NNP regular appear NNP domestic NNP make interested bring,genre_Sport Talk-Show,CONTAINS_CHARACTERS:FALSE,Troperiffic,Troperiffic,VERY_OBJECTIVE,NEGATIVE,NOT_FACTUAL,False
unknown_trope,translate wtf,genre_Sport Talk-Show,CONTAINS_CHARACTERS:FALSE,Catch Phrase,CatchPhrase,VERY_SUBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,extreme see list NNP NNP,genre_Sport Talk-Show,CONTAINS_CHARACTERS:FALSE,Continuity Nod,ContinuityNod,VERY_SUBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,NNP regular play eliminated first,genre_Sport Talk-Show,CONTAINS_CHARACTERS:FALSE,Token Girl,TokenGirl,OBJECTIVE,POSITIVE,FACTUAL,False
unknown_trope,feature start NNP operate NNP,genre_Documentary Reality-TV,CONTAINS_CHARACTERS:FALSE,Reality V,RealityTV,VERY_OBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,several play,genre_Documentary Reality-TV,CONTAINS_CHARACTERS:FALSE,Well Done Son Guy,WellDoneSonGuy,VERY_OBJECTIVE,NEGATIVE,NOT_FACTUAL,False
unknown_trope,show complimentary,genre_Documentary,CONTAINS_CHARACTERS:FALSE,Cooking Show,CookingShow,OBJECTIVE,POSITIVE,FACTUAL,False
unknown_trope,long first,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,B B C,TheBBC,OBJECTIVE,POSITIVE,FACTUAL,False
unknown_trope,cognitive find NNP significant NNP NNP,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Actor Allusion,ActorAllusion,VERY_SUBJECTIVE,POSITIVE,FACTUAL,True
unknown_trope,reveal similar go NNP,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Aliens Cardiff,AliensInCardiff,OBJECTIVE,NEGATIVE,FACTUAL,False
death_trope,fourth main dead,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Anyone Die,AnyoneCanDie,VERY_OBJECTIVE,NEGATIVE,FACTUAL,True
death_trope,NNP dead begin,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Anyone Die,AnyoneCanDie,VERY_OBJECTIVE,NEGATIVE,FACTUAL,True
death_trope,NNP move dead,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Anyone Die,AnyoneCanDie,OBJECTIVE,NEGATIVE,FACTUAL,True
unknown_trope,NNP disintegrate NNP commit NNP great complete,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Bad Future,BadFuture,SUBJECTIVE,POSITIVE,NOT_FACTUAL,True
unknown_trope,subvert NNP NNP,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Nice,BecauseYouWereNiceToMe,VERY_SUBJECTIVE,NEGATIVE,FACTUAL,True
unknown_trope,want make NNP suffer rip NNP NNP invoke go spare leave,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Nice,BecauseYouWereNiceToMe,VERY_OBJECTIVE,POSITIVE,FACTUAL,True
unknown_trope,stop swing come say go soft shiv,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Nice,BecauseYouWereNiceToMe,VERY_OBJECTIVE,NEGATIVE,NOT_FACTUAL,True
unknown_trope,work begin exhibit mild NNP control,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Beware Nice Ones,BewareTheNiceOnes,OBJECTIVE,NEGATIVE,FACTUAL,False
unknown_trope,work NNP NNP NNP different,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Big Bad Ensemble,BigBadEnsemble,OBJECTIVE,NEGATIVE,FACTUAL,True
unknown_trope,end NNP kill NNP,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Big Bad Ensemble,BigBadEnsemble,VERY_OBJECTIVE,NEGATIVE,FACTUAL,True
unknown_trope,would seemingly-unconnected kill NNP NNP NNP represent NNP NNP want destroy prophesy kill unidentified represent NNP stick know no-one mean die,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Big Bad Ensemble,BigBadEnsemble,OBJECTIVE,POSITIVE,NOT_FACTUAL,True
unknown_trope,get become kill make sure orphan first kill,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Bitch Sheeps Clothing,BitchInSheepsClothing,OBJECTIVE,POSITIVE,NOT_FACTUAL,True
plot_trope,happen enter uninvited,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Body Horror,BodyHorror,VERY_OBJECTIVE,NEGATIVE,FACTUAL,True
unknown_trope,believe go,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Break Heart Save,BreakHisHeartToSaveHim,VERY_OBJECTIVE,NEGATIVE,NOT_FACTUAL,True
death_trope,NNP revealed kill NNP NNP NNP revealed kill NNP NNP NNP kill NNP kill NNP,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Bus Crash,BusCrash,OBJECTIVE,NEGATIVE,FACTUAL,True
action_adventure_trope,NNP NNP allow NNP NNP NNP escape wo stare speak,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Casual Danger Dialog,CasualDangerDialog,OBJECTIVE,POSITIVE,FACTUAL,True
afterlife_trope death_trope,NNP angry get NNP,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:TRUE,Celestial Bureaucracy,CelestialBureaucracy,VERY_SUBJECTIVE,NEGATIVE,FACTUAL,True
afterlife_trope death_trope,say,genre_Comedy Drama Fantasy Horror,CONTAINS_CHARACTERS:FALSE,Celestial Bureaucracy,CelestialBureaucracy,VERY_OBJECTIVE,NEGATIVE,NOT_FACTUAL,True
